Team,Player,Bengaluru Bulls,Gujurat Giants,Bengal Warriors,Tamil Thalaivas,Puneri Paltan,Telugu Titans,Jaipur Pink Panthers,U Mumba,Patna Pirates,UP Yoddhas, Dabang Delhi,Haryana Steelers,Total
Haryana Steelers,Mohammadreza Shadloui,6,6,4,9,7,5,5,11,12,6,7,0,78
Dabang Delhi,Yogesh Bijender Dahiya,5,6,9,8,6,4,6,6,7,4,0,4,65
UP Yoddhas,Hitesh,2,3,5,8,3,6,13,7,10,0,2,6,65
Patna Pirates,Ankit Jaglan,7,4,6,5,8,7,7,4,0,4,10,9,71
U Mumba,Sunil Kumar,5,4,7,1,5,5,3,0,6,2,4,4,46
