S. No,Team,Defender,Match-1,Match-2,Match-3,Match-4,Match-5,Match-6,Match-7,Match-8,Match-9,Match-10,Match-11,Match-12,Match-13,Match-14,Match-15,Match-16,Match-17,Match-18,Match-19,Match-20,Match-21,Match-22,Match-23,Match-24,Match-25,Total
1,Haryana Steelers,Mohammadreza Shadloui,3,2,4,1,3,3,3,6,3,7,2,2,3,4,2,1,4,3,4,3,4,5,1,5,_,78
2,Dabang Delhi,Yogesh Bijender Dahiya,1,3,1,0,0,1,5,2,5,3,5,3,4,2,3,1,3,3,4,7,2,3,4,_,_,65
3,UP Yoddhas,Hitesh,1,2,0,0,0,4,3,4,3,1,6,6,2,4,3,1,2,5,3,1,3,_,6,5,_,65
4,Patna Pirates,Ankit Jaglan,4,4,3,2,2,1,2,2,2,4,4,2,5,3,2,3,5,1,4,4,1,2,2,3,4,71
5,U Mumba,Sunil Kumar,0,3,2,2,1,4,2,2,1,0,3,3,2,2,4,1,1,1,0,4,3,5,0,_,_,46
