Team,Match-1,Match-2,Match-3,Match-4,Match-5,Match-6,Match-7,Match-8,Match-9,Match-10,Match-11,Match-12,Match-13,Match-14,Match-15,Match-16,Match-17,Match-18,Match-19,Match-20,Match-21,Match-22,Match-23,Match-24,Match-25
Haryana Steelers,Puneri Paltan,Jaipur Pink Panthers,Dabang Delhi,UP Yoddhas,Bengal Warriors,Gujurat Giants,Gujurat Giants,U Mumba,Patna Pirates,Tamil Thalaivas,Telugu Titans,Bengaluru Bulls,Jaipur Pink Panthers,Puneri Paltan,Tamil Thalaivas,Bengal Warriors,Patna Pirates,Telugu Titans,Bengaluru Bulls,Dabang Delhi,UP Yoddhas,U Mumba,UP Yoddhas,Patna Pirates,_
Dabang Delhi,U Mumba,UP Yoddhas,Telugu Titans,Haryana Steelers,Bengaluru Bulls,Patna Pirates,U Mumba,Bengal Warriors,Tamil Thalaivas,Puneri Paltan,Bengaluru Bulls,Gujurat Giants,Jaipur Pink Panthers,Patna Pirates,Tamil Thalaivas,UP Yoddhas,Puneri Paltan,Telugu Titans,Haryana Steelers,Bengal Warriors,Jaipur Pink Panthers,Gujurat Giants,Patna Pirates,_,_
UP Yoddhas,Dabang Delhi,Bengaluru Bulls,Bengal Warriors,Gujurat Giants,Haryana Steelers,Patna Pirates,Jaipur Pink Panthers,U Mumba,Telugu Titans,Puneri Paltan,Tamil Thalaivas,Patna Pirates,Tamil Thalaivas,Jaipur Pink Panthers,Telugu Titans,Dabang Delhi,Puneri Paltan,Bengal Warriors,U Mumba,Haryana Steelers,Gujurat Giants,Bengaluru Bulls,Jaipur Pink Panthers,Haryana Steelers,_
