S. No,Team,Raider,1st-Quarter Points [5],2nd-Quarter Points [6],3rd-Quarter Points [6],4th-Quarter Points [5],Total Raid Points
1,Haryana Steelers,Vinay,36,36,50,43,165
2,Dabang Delhi,Ashu Malik,54,74,59,75,262
3,UP Yoddhas,Bhavani Rajput,25,33,42,52,152
4,Patna Pirates,Devank,61,70,90,80,301
5,U Mumba,Ajit Ramesh Chouhan,38,63,42,42,185
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
