S. No,Team,Defender,1st-Quarter Points [5],2nd-Quarter Points [6],3rd-Quarter Points [6],4th-Quarter Points [5],Total Defense Points
1,Haryana Steelers,Mohammadreza Shadloui,13,24,16,25,78
2,Dabang Delhi,Yogesh Bijender Dahiya,5,21,16,23,65
3,UP Yoddhas,Hitesh,3,21,18,23,65
4,Patna Pirates,Ankit Jaglan,15,15,20,21,71
5,U Mumba,Sunil Kumar,8,12,13,13,46
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
